Latitude,Longitude,Confidence
18.102,-94.353,72
19.3,-89.925,82
19.31,-89.927,68
26.888,-101.421,53
26.879,-101.425,45
36.915,-97.132,100
36.913,-97.143,100
29.011,-111.497,43
36.549,-118.776,44
36.558,-118.778,59
40.307,-80.607,44
37.293,-83.109,66
37.31,-83.411,81
37.309,-83.4,84
37.732,-87.839,70
36.976,-83.46,21
36.968,-83.469,83
36.966,-83.457,66
36.549,-82.964,70
36.086,-84.125,41
35.98,-83.595,63
36.324,-86.567,85
36.091,-85.616,65
36.09,-85.605,58
36.251,-87.315,78
35.93,-86.928,50
35.727,-85.573,75
35.726,-85.561,76
35.466,-84.882,47
35.465,-84.871,89
35.669,-86.89,62
35.668,-86.878,62
35.047,-83.904,65
35.609,-91.285,53
35.606,-91.291,57
34.993,-87.675,48
33.29,-82.797,65
33.281,-82.799,54
33.279,-82.788,65
34.094,-90.323,55
33.272,-83.962,44
33.472,-85.705,45
33.463,-85.707,87
33.001,-84.123,71
33.258,-86.021,36
33.05,-84.757,80
33.44,-88.567,66
32.927,-85.109,63
33.562,-90.345,84
33.56,-90.327,76
33.231,-87.504,29
32.906,-85.676,53
32.701,-84.336,68
32.699,-84.325,65
32.922,-87.234,100
32.921,-87.223,72
33.008,-88.003,80
33.006,-87.991,74
32.913,-87.236,94
32.911,-87.224,50
32.998,-88.005,100
32.997,-87.992,100
32.89,-87.625,94
32.888,-87.613,83
32.304,-84.645,53
32.303,-84.634,90
32.295,-84.647,86
32.294,-84.636,96
32.686,-88.464,78
32.685,-88.451,94
32.676,-88.465,64
32.675,-88.452,87
32.675,-88.459,87
32.674,-88.446,73
32.096,-84.429,77
32.094,-84.419,57
32.765,-89.897,66
32.763,-89.881,80
32.587,-88.573,58
32.142,-85.235,79
32.577,-88.575,51
31.852,-84.044,88
31.889,-84.343,58
32.005,-85.237,59
31.952,-84.882,100
31.95,-84.871,99
31.943,-84.884,100
31.942,-84.873,99
32.082,-85.901,93
32.08,-85.891,79
32.324,-88.001,95
32.323,-87.989,100
32.303,-88.664,23
31.903,-86.139,75
31.902,-86.128,69
32.247,-89.053,71
31.687,-85.528,84
31.949,-87.78,68
31.941,-87.793,70
31.939,-87.781,100
